site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,theta_f_mean,PAW_mean,theta_r_mean,theta_s_mean,theta_wp_mean
AR-SLu,11,5.5,0.11,500,400,,FLUXNET2015,,,,,-33.46480179,-66.45980072,MF,,4.5,,,,0.547925744,0.250690013,0.126560003,0.11998,0.416020006,0.124130011
AT-Neu,3,2.9,0.16,970,852,6.5,FLUXNET2015,F15,2.906,32,2,47.1166687,11.31750011,GRA,Dfc,1,6.5,2002,2012,1.644327317,0.375519991,0.231670007,0.135240003,0.531470001,0.143849984
AU-ASM,11.60000038,3.5,0.1,606,,,FLUXNET2015,F15,1.776,0,4,-22.28300095,133.2489929,ENF,BSh,6.5,0.47,2010,2014,2.487832881,0.212799996,0.095310003,0.11569,0.381889999,0.117489994
AU-Cow,35,2.6,,86,4250,,FLUXNET2015,,,,,-16.2381897,145.4271545,ENF,,22,,,,16.36254163,0.340530008,0.165189996,0.167290002,0.493999988,0.175340012
AU-Cpr,20,4.8,0.19,76,,,FLUXNET2015,F15,1.243,0,"5,6",-34.00205994,140.5891266,SAV,BSk,4,0.782,2010,2014,0.00677627,0.208550006,0.095380001,0.112170003,0.406089991,0.113170005
AU-Ctr,45,4.1,,66,,,FLUXNET2015,,,,,-16.10327911,145.4468536,EBF,,25,,,,17.15369335,0.370220006,0.180649996,0.179769993,0.51485002,0.18957001
AU-Cum,30,4.1,0.11,200,,,FLUXNET2015,F15,1.1,71,7,-33.61329651,150.7224731,EBF,Cfa,23,2.0332,2012,2014,11.69564904,0.252279997,0.130469993,0.117969997,0.431039989,0.121810004
AU-DaP,15,4.2,0.16,116,983.78,27.25,FLUXNET2015,F15,,0,7,-14.06330013,131.3181,GRA,Aw,0.300000012,,2007,2013,0,0.261049986,0.122720003,0.134470001,0.428079993,0.138329983
AU-DaS,21,4.2,0.19,108,975.82,27.22,FLUXNET2015,F15,,47,8,-14.15928268,131.3880005,SAV,Aw,16.39999962,1.8768,2008,2014,4.56809087,0.20465,0.10046,0.102920003,0.406089991,0.104189999
AU-Dry,15,4.1,0.19,191,,,FLUXNET2015,F15,,18,9,-15.25879955,132.3706055,SAV,Aw,12.30000019,1.66,2008,2014,4.071870184,0.211129993,0.101779997,0.107969999,0.40801999,0.109349996
AU-Emr,5.599999905,4.2,0.16,177,,,FLUXNET2015,F15,,0,10,-23.8586998,148.4745941,GRA,BSh,2,,2011,2013,0.053450304,0.331090003,0.12308,0.199609995,0.441119999,0.208010003
AU-GWW,35,4.8,0.19,504,,,FLUXNET2015,,,,,-30.19129944,120.6540985,SAV,,18,,2013,2014,1.141310853,0.227860004,0.105080001,0.12043,0.399199992,0.122780003
AU-Gin,15,4.1,0.19,51,,,FLUXNET2015,F15,,82,,-31.375,115.6500015,WSA,Csa,7,1.4076,2011,2014,0.405125314,0.169149995,0.075208999,0.093684003,0.39508,0.093940996
AU-How,23,4.1,0.19,41,1449.35,27.01,FLUXNET2015,F15,,,12,-12.49520016,131.1499939,WSA,Aw,16,2.4,2001,2014,2.820075158,0.262329996,0.127810001,0.130649999,0.436589986,0.134519994
AU-Lit,31,4.1,,200,,,FLUXNET2015,,,,,-13.17903996,130.7944946,WSA,,20,,,,4.150364074,0.268649995,0.120379999,0.143989995,0.424730003,0.148269996
AU-Otw,10,5.5,,54,,,FLUXNET2015,,,,,-38.532341,142.816803,EBF,,0.100000001,,,,0.191215399,0.292210013,0.158590004,0.128480002,0.501670003,0.133620009
AU-Rig,2.5,4.2,0.16,133,,,FLUXNET2015,F15,,0,7,-36.64989853,145.5758972,GRA,Cfb,0.400000006,,2011,2014,0.342773277,0.244460002,0.11541,0.125259995,0.403299987,0.129050002
AU-Rob,46,,,710,,,FLUXNET2015,,,,,-17.11750031,145.6300964,EBF,,44,,1989,2014,18.63961669,0.345290005,0.162599996,0.174270004,0.493609995,0.182690009
AU-Sam,2,,,170,,,FLUXNET2015,,,,,-27.38809967,152.8778076,,,0.5,,,,8.174165034,0.280180007,0.13955,0.135849997,0.453440011,0.140630007
AU-Stp,4.800000191,4.2,0.16,252,,,FLUXNET2015,F15,,0,7,-17.15069962,133.3502045,GRA,BSh,0.5,,2008,2014,0,0.284399986,0.118479997,0.160559997,0.422479987,0.165919989
AU-TTE,9.81000042,3.9,0.25,553,,,FLUXNET2015,F15,,0,,-22.28700066,133.6399994,OSH,BSh,4.849999905,0.4692,2012,2014,0.039048914,0.184489995,0.078050002,0.105930001,0.376139998,0.106439993
AU-Tum,70,4.1,0.11,1200,1159.01,10.72,FLUXNET2015,,,,,-35.65660095,148.1517029,EBF,,40,,2001,2014,20.31296671,0.380360007,0.201849997,0.166899994,0.554830015,0.17851001
AU-Whr,32,5.5,,152,,,FLUXNET2015,F15,,138,15,-36.6731987,145.0294037,EBF,Cfb,28,1.4076,2011,2014,11.34339733,0.220420003,0.114540003,0.103459999,0.412310004,0.10588
AU-Wom,,5.5,,705,,,FLUXNET2015,F15,,223,,-37.4222,144.0944,EBF,Cfb,22,6.4124,2010,2014,17.27429845,0.357650012,0.196830004,0.15027,0.552209973,0.160820007
AU-Wrr,92,,,100,,,FLUXNET2015,,,,,-43.09502029,146.6544952,,,90,,,,16.30652231,0.377130002,0.209179997,0.156599998,0.55576998,0.167950004
AU-Ync,8,4.2,0.16,125,,,FLUXNET2015,F15,,0,16,-34.98929977,146.2906952,GRA,BSk,0.5,,2012,2014,0,0.311989993,0.106959999,0.19754,0.416399986,0.205029994
BE-Bra,39,5.5,,16,750,9.8,ICOS,F15,2.314,128,17,51.30916595,4.520559788,MF,Cfb,21.7,2.1,1996,2023,14.10189729,0.103430003,0.035055999,0.068370998,0.432099998,0.068374004
BE-Dor,,5.4,,,827.9,10.3,ICOS,,,,,50.311928,4.968011,GRA,Cfb,,,2011,2023,0.593349206,0.366189986,0.224820003,0.135440007,0.476579994,0.141369984
BE-Lcr,,5.5,,,861.3,10.6,ICOS,,,,,51.11218,3.85043,DBF,Cfb,3.71,,2019,2020,0.427324315,0.15151,0.076892003,0.074110001,0.372619987,0.074617997
BE-Lon,2.700000048,5.6,0.19,167,800,10,ICOS,,,,,50.55158997,4.74612999,CRO,Cfb,1,6,2004,2023,0.082849239,0.323749989,0.21029,0.109140001,0.432200015,0.113459989
BE-Maa,3,4.6,,,839.1,10.3,ICOS,,,,,50.980183,5.631478,CSH,Cfb,1,,2016,2023,0.489231762,0.194849998,0.115768999,0.076348998,0.394630015,0.079080999
BE-Vie,40,4.6,0.11,493,1062,7.8,ICOS,F15,1.05,167,18,50.30506897,5.998050213,MF,Cfb,34.6,5.1,1996,2023,14.50359189,0.371039987,0.23567,0.127739996,0.519850016,0.135369986
BR-Sa3,64,4.1,0.11,100,2043.77,26.12,FLUXNET2015,F15,,268,21,-3.018029213,-54.97143555,EBF,Am,40,5.21,2000,2004,19.7689802,0.353949994,0.142000005,0.202240005,0.481840014,0.211949989
BW-Ma1,12.60000038,3.9,,929,,,FLUXNET2015,LT,,6,22,-19.91650009,23.56032944,SAV,BSh,8,1.1,,,0.033415263,0.107210003,0.027732,0.079476997,0.393180013,0.079478003
CA-Gro,43,5.5,,340,831,1.3,FLUXNET2015,F15,1.466,98,24,48.2167,-82.1556,MF,Dbf,31,4.3,2003,2014,15.88334135,0.503099978,0.276760012,0.186900005,0.68572998,0.226339966
CA-Man,30,,,259,520,-3.2,FLUXNET2015,,,,,55.8796,-98.4808,ENF,,,,1994,2008,3.498822477,0.428160012,0.198359996,0.214520007,0.563650012,0.229800016
CA-NS1,24,5.8,0.1,260,500.29,-2.89,FLUXNET2015,F15,0.675,47,27,55.87919998,-98.48390198,ENF,Dfc,20,5.68,2001,2005,3.503260668,0.427289993,0.194150001,0.21751,0.562820017,0.233139992
CA-NS2,20,5.8,0.1,260,499.82,-2.88,FLUXNET2015,F15,0.657,38,6,55.90579987,-98.52469635,ENF,Dfc,20,7.8,,,4.62709343,0.445639998,0.205300003,0.222210005,0.585979998,0.240339994
CA-NS4,10,5.8,0.1,260,502.22,-2.87,FLUXNET2015,,,,,55.91439819,-98.38059998,ENF,,7,,,,1.994662071,0.51831001,0.218529999,0.265430003,0.65903002,0.299780011
CA-NS5,9,5.8,0.1,260,500.34,-2.86,FLUXNET2015,F15,0.915,51,6,55.86309814,-98.48500061,ENF,Dfc,5,5.49,,,2.462124562,0.456609994,0.215920001,0.220840007,0.603550017,0.240689993
CA-NS6,6,3.9,0.25,244,495.37,-3.08,FLUXNET2015,F15,1.95,51,6,55.91669846,-98.96440125,OSH,Dfc,4,2.97,,,0.189375887,0.403849989,0.193149999,0.198620006,0.537519991,0.21069999
CA-NS7,6,3.9,0.25,297,483.27,-3.52,FLUXNET2015,F15,1.36,37,6,56.63579941,-99.94830322,OSH,Dfc,0.25,1.36,,,0.112513011,0.413390011,0.200069994,0.200000003,0.554359972,0.213320017
CA-TP2,15,5.8,,212,1036,8,FLUXNET2015,F15,1.34,112,36,42.7744,-80.4588,ENF,Dfb,11.5,12.8,2002,2007,11.37877752,0.275139987,0.166299999,0.103710003,0.487890005,0.108839989
CA-TP4,34.3,5.8,,212,1036,8,FLUXNET2015,F15,1.385,197,37,42.7102,-80.3574,ENF,Dfb,23.4,8,2002,2014,16.08028812,0.28362,0.173329994,0.104450002,0.506690025,0.110290006
CA-Qcu,7.5,5.8,,392,,,FLUXNET2015,LT,,27,31,49.2670784,-74.03652954,ENF,Dfc,5.5,0.77,,,0.169614812,0.431400001,0.258659989,0.142810002,0.641839981,0.172740012
CA-Qfo,24,5.8,0.1,382,962.32,-0.36,FLUXNET2015,F15,0.754,44,32,49.69250107,-74.34210205,ENF,Dfc,14,3.7,2003,2010,1.493736483,0.481409997,0.27956,0.164230004,0.673609972,0.201849997
CA-SF1,12.1,2.5,0.1,536,470,0.4,FLUXNET2015,F15,0.95,85,33,54.48500061,-105.8175964,ENF,Dfc,6,3.4,2003,2006,2.211926456,0.508979976,0.272799999,0.188170001,0.69976002,0.236179978
CA-SF2,9.144,2.5,0.1,520,470,0.4,FLUXNET2015,F15,1.07,57,33,54.25389862,-105.8775024,ENF,Dfc,4,3,2001,2005,3.55293442,0.473509997,0.269749999,0.173299998,0.658779979,0.203759998
CA-SF3,18.288,3.9,0.25,540,470,0.4,FLUXNET2015,F15,1.35,57,33,54.09159851,-106.0053024,OSH,Dfc,1,1.1,2001,2006,4.225044176,0.450019985,0.258399993,0.165209994,0.641520023,0.191619992
CH-Aws,2,4.2,,,918,2.3,ICOS,,,,,46.583194,9.790417,GRA,Dfc,0.3,2.5,2006,2020,3.275749519,0.35036999,0.234410003,0.108170003,0.526780009,0.115959987
CH-Cha,2,4.8,0.16,393,1136,9.5,ICOS,F15,2.626,15,39,47.21022034,8.410440445,GRA,Cfb,0.5,4.85,2005,2020,3.309203952,0.323150009,0.193039998,0.123989999,0.474000007,0.130110011
CH-Dav,35,3.3,0.1,1639,1062,2.8,ICOS,F15,1.13,102,"40,41",46.81533432,9.855919838,ENF,Dfc,25,5.5,1997,2023,7.084944292,0.382149994,0.242709994,0.129109994,0.555670023,0.13944
CH-Fru,2.549999952,4.2,0.16,982,1651,7.2,ICOS,F15,2.135,42,42,47.11583328,8.537779808,GRA,Cfb,0.4,4.85,2005,2020,2.898283091,0.414979994,0.24278,0.161709994,0.553680003,0.172199994
CH-Lae,40,4.6,,689,1100,8.3,ICOS,,,,,47.478333,8.364389,MF,Cfb,34.6,5.1,2004,2020,19.05477506,0.380259991,0.222939998,0.14937,0.512769997,0.157319993
CH-Oe1,2,4.8,0.16,450,1100,9,FLUXNET2015,F15,,0,43,47.28583145,7.731939793,GRA,Cfb,0.5,4.85,2002,2008,0.629553552,0.333460003,0.191980004,0.13538,0.462370008,0.141479999
CH-Oe2,2.700000048,5.6,,452,1155,9.8,ICOS,,,,,47.286417,7.73375,CRO,Cfb,1,6,2004,2020,0.616240719,0.337460011,0.192680001,0.138510004,0.465750009,0.14478001
CN-Cha,40,5.5,0.11,754,663.59,2.16,FLUXNET2015,F15,1.91,117,44,42.40250015,128.0957947,MF,Dwb,28,6,2003,2005,12.28780627,0.389979988,0.239030004,0.143199995,0.518369973,0.150949985
CN-Cng,2,3.8,0.16,138,,,FLUXNET2015,F15,,0,,44.59339905,123.509201,GRA,Dwa,0.75,,2007,2010,0.004123798,0.255989999,0.13301,0.11806,0.40022999,0.122979999
CN-Dan,2.099999905,3.8,0.16,4751,246.88,-1.54,FLUXNET2015,,,,,30.49780083,91.06639862,GRA,,1,,2004,2005,0,0.222340003,0.121969998,0.096390001,0.38714999,0.100370005
CN-Din,32,4.6,0.11,261,1618.1,19.64,FLUXNET2015,F15,1.72,91,,23.17329979,112.5361023,EBF,Cfa,30,4,2003,2005,12.95890692,0.300940007,0.165309995,0.129800007,0.457060009,0.135630012
CN-Du2,3,3.8,0.16,1331,318.96,2.01,FLUXNET2015,F15,,0,45,42.04669952,116.2835999,GRA,Dwb,0.5,,2006,2008,2.03E-05,0.263020009,0.142389998,0.115620002,0.395469993,0.120630011
CN-HaM,2.200000048,3.8,0.16,3975,,,FLUXNET2015,F15,2.938,0,46,37.36999893,101.1800003,GRA,ET,0.300000012,2.8,2002,2004,0.031349209,0.32438001,0.203789994,0.114500001,0.483850002,0.120590016
CN-Qia,39.59999847,3.5,0.1,64,1466.75,18.95,FLUXNET2015,F15,1.23,88,,26.74139977,115.0580978,ENF,Cfa,13,3.5,2003,2005,9.867626163,0.322100013,0.173989996,0.141939998,0.448489994,0.148110017
CZ-BK1,35,5.1,,875,1316,6.7,ICOS,,,,,49.50207615,18.53688247,ENF,Dbf,25,7.6,2004,2023,13.58402272,0.362370014,0.236379996,0.117990002,0.528559983,0.125990018
CZ-KrP,5,5.6,,,620,7.1,ICOS,,,,,49.573257,15.078773,CRO,,3,,2014,2020,1.343645938,0.303279996,0.191589996,0.106449999,0.459080011,0.11169
CZ-Lnz,40,4.6,,,550,9.3,ICOS,,,,,48.681611,16.946416,MF,,34.6,2.9,2015,2023,14.49255538,0.27403,0.155670002,0.113399997,0.440730006,0.118359998
CZ-RAJ,35,3.9,,,681,7.1,ICOS,,,,,49.4437236,16.6965125,ENF,,25,7.6,2012,2020,12.63727723,0.343760014,0.221169993,0.11569,0.506669998,0.12259002
CZ-Stn,43.5,5.5,,,685,8.7,ICOS,,,,,49.035975,17.9699,DBF,,35,6.6,2010,2020,12.77057333,0.382209986,0.238100007,0.136590004,0.51631999,0.144109979
CZ-wet,2.700000048,6.5,,426,604,7.7,ICOS,F15,,22,,49.02465057,14.77035046,WET,Cfb,1,0.9,2006,2023,1.082152983,0.293139994,0.173879996,0.113959998,0.448740005,0.119259998
DE-Akm,8,6.5,,-1,558,8.7,ICOS,F15,,49,,53.86617,13.68342,WET,Cfb,4,0.9,2009,2020,1.185828413,0.283740014,0.157159999,0.121370003,0.464359999,0.126580015
DE-Bay,31,5.1,,781,,,FLUXNET2015,LT,,163,47,50.14194107,11.86693954,ENF,Cfb,25,5.6,,,5.117021555,0.361180007,0.234540001,0.117830001,0.538259983,0.126640007
DE-Gds,31,4.1,,,883,8.3,ICOS,,,,,56.0737,9.3341,EBF,Cfb,25,,,,14.73237959,0.264120013,0.1602,0.099113002,0.529240012,0.103920013
DE-Geb,6,5.6,0.19,161.5,470,8.5,ICOS,,,,,51.10010147,10.91429996,CRO,,1,6,2001,2023,0,0.316680014,0.178870007,0.132200003,0.43900001,0.137810007
DE-Gri,3,2.9,0.16,385,877,8.4,ICOS,F15,,142,48,50.94947052,13.51253033,GRA,Cfb,0.82,6.5,2004,2023,1.82039516,0.36868,0.237090006,0.123659998,0.526380002,0.131589994
DE-Hai,43.5,5.5,0.11,430,720,8.3,ICOS,F15,2.317,185,49,51.07916641,10.45300007,DBF,Cfb,35,6.6,2000,2023,22.30920292,0.398220003,0.242540002,0.147420004,0.526750028,0.155680001
DE-HoH,43.5,5.5,,,563,9.1,ICOS,,,,,52.085306,11.219222,DBF,,35,4.2,2015,2023,21.04995961,0.325260013,0.215010002,0.104939997,0.473140001,0.110250011
DE-Hte,8,6.5,,0.2,645,9.2,ICOS,,,,,54.210278,12.176111,WET,,4,0.9,,,0.272963564,0.30588001,0.181150004,0.118150003,0.50575,0.124730006
DE-Hzd,43.5,5.5,,,901,7.8,ICOS,,,,,50.96381,13.48978,DBF,,35,6.6,2010,2023,9.680190679,0.360799998,0.237350002,0.116039999,0.520720005,0.123449996
DE-Kli,3.5,5.6,0.12,478,842,7.6,ICOS,,,,,50.89305878,13.52237988,CRO,,1.5,6,2004,2023,0.247982106,0.327439994,0.205990002,0.116099998,0.461459994,0.121449992
DE-Lkb,,3.9,,1308,1599,4,FLUXNET2015,F15,,70,50,49.0996,13.3047,ENF,Cfb,2,,2009,2013,0.150631219,0.364829987,0.238000005,0.117990002,0.539520025,0.126829982
DE-Lnf,,5.5,,451,894.6,6.96,FLUXNET2015,F15,,142,51,51.3282,10.3678,DBF,Cfb,35,4.2,2002,2012,15.98892481,0.401540011,0.247339994,0.146390006,0.521719992,0.154200017
DE-Meh,3,4.6,,291,,,FLUXNET2015,LT,1.41,0,52,51.27531052,10.65546989,MF,Cfb,1,2.9,,,0.805205488,0.354990005,0.208670005,0.14034,0.465330005,0.14632
DE-Obe,30,5.1,0.1,734,996,5.5,ICOS,F15,,163,,50.78665924,13.72128963,ENF,Cfb,20.5,7.6,2008,2020,10.1599243,0.358900011,0.234119996,0.116379999,0.533339977,0.124780014
DE-RuR,2,5.4,,514.7,1033,7.7,ICOS,,,,,50.6219142,6.3041256,GRA,,0.3,3,2011,2023,0.330474215,0.344639987,0.217340007,0.121550001,0.475829989,0.127299979
DE-RuS,2,5.6,,102.755,700,10,ICOS,,,,,50.86590702,6.447144704,CRO,,1,6,2011,2023,0.162416426,0.316379994,0.191699997,0.119989999,0.422019988,0.124679998
DE-RuW,23.5,4.7,,,,,ICOS,,,,,50.50490703,6.33101886,ENF,,19,2.1,2012,2023,15.16197725,0.419580013,0.251379997,0.157450005,0.560530007,0.168200016
DE-Seh,2,5.6,0.19,103,693,9.9,FLUXNET2015,,,,,50.87062454,6.449649811,CRO,,0.800000012,,2007,2010,0.045986584,0.316379994,0.191699997,0.119989999,0.422019988,0.124679998
DE-SfN,4.300000191,6.5,,590,1127,8.6,FLUXNET2015,F15,,65,,47.80638885,11.32750034,WET,Cfb,2,,2012,2014,2.024293288,0.305510014,0.190909997,0.108329996,0.494760007,0.114600018
DE-Tha,42,5.1,0.1,380,843,8.2,ICOS,F15,1.4,188,53,50.9636116,13.56694031,ENF,Cfb,29.4,7.6,1996,2023,14.31425103,0.342570007,0.219469994,0.116109997,0.507740021,0.123100013
DE-Wet,29.39999962,5.1,,703,,,FLUXNET2015,LT,1.4,214.5,51,50.45349884,11.45753002,ENF,Cfb,22,7.7,,,18.05161361,0.404729992,0.257079989,0.136950001,0.563610017,0.147650003
DE-Zrk,,,,0,584,8.7,FLUXNET2015,,,,,53.8759,12.889,WET,,,,2013,2014,0.031185642,0.326990008,0.180570006,0.139719993,0.476509988,0.146420002
DK-Eng,,,,10,613,8,FLUXNET2015,,,,,55.6905,12.1918,GRA,,,,2005,2008,0.253256915,0.255800009,0.144089997,0.10751,0.443239987,0.111710012
DK-Fou,3.5,,,51,,8,FLUXNET2015,,,,,56.48419952,9.587220192,CRO,,1,,,,0.832971258,0.213070005,0.125455007,0.085371003,0.442030013,0.087614998
DK-Lva,2.5,,,-2493,,,FLUXNET2015,,,,,55.68330002,12.08329964,,,0.5,,,,0.375610267,0.27094999,0.157389998,0.108750001,0.457179993,0.113559991
DK-Ris,2,,,24,,,FLUXNET2015,,,,,55.53028107,12.09722042,,,1,,,,0.189562757,0.282739997,0.162009999,0.115510002,0.455159992,0.120729998
DK-Sor,57,5.7,,40,660,8.2,ICOS,F15,2.27,123,55,55.48587036,11.64463997,DBF,Cfb,29.2,5,1996,2023,11.74002736,0.263480008,0.157989994,0.100960001,0.47209999,0.105490014
DK-ZaH,3,5.4,,38,,,FLUXNET2015,F15,,,56,74.47319794,-20.5503006,GRA,ET,0.5,,,,,0.325700015,0.202030003,0.115680002,0.525460005,0.123670012
ES-Abr,8,3.8,,,,,ICOS,,,,,38.701839,-6.785881,SAV,,4,2,2015,2020,0.63838064,0.277610004,0.146679997,0.125599995,0.410380006,0.130930007
ES-Agu,,4.4,,,,,ICOS,,,,,36.940046,-2.033208,OSH,,,,2006,2020,0.000465478,0.274549991,0.135230005,0.133790001,0.403750002,0.139319986
ES-Amo,,,,58,0,,FLUXNET2015,,,,,36.8336,-2.2523,OSH,,,,2007,2012,0,0.254599988,0.127890006,0.121710002,0.394719988,0.126709983
ES-Cnd,,3.7,,,474,15.8,ICOS,,,,,37.914998,-3.227659,WSA,,,,2014,2020,1.016407091,0.313149989,0.154290006,0.152620003,0.423260003,0.158859983
ES-ES1,13,4.5,,1,,,FLUXNET2015,LT,,,57,39.34597015,-0.318809986,ENF,Csa,7.5,3.63,,,4.711354853,0.315530002,0.16516,0.144020006,0.452829987,0.150370002
